kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
1.162.109.88,74,spam,17.01.2020 09:50,1
1.52.37.180,74,spam,05.01.2017 14:40,1
1.46.172.26,74,spam,07.04.2020 21:50,1
1.53.142.142,74,spam,28.06.2019 06:13,1
1.23.225.61,74,spam,28.02.2018 13:40,1
1.22.103.108,74,spam,07.04.2020 18:00,1
1.53.38.115,74,spam,07.04.2020 18:00,1
1.54.205.69,74,spam,31.08.2019 18:20,1
1.39.196.82,74,spam,30.03.2020 18:10,1
1.53.151.227,74,spam,05.04.2020 14:00,1
1.53.225.5,74,spam,05.04.2020 05:50,1
1.53.205.123,74,spam,07.04.2020 13:50,1
1.52.173.121,74,spam,07.04.2020 13:50,1
1.52.198.1,74,spam,04.04.2020 05:50,1
1.163.27.160,74,spam,04.04.2020 02:00,1
1.53.243.55,74,spam,02.04.2020 18:00,1
1.162.209.178,74,spam,15.03.2020 22:00,1
1.47.196.88,74,spam,07.04.2020 02:00,1
1.55.94.171,74,spam,22.11.2019 14:10,1
1.39.30.11,74,spam,07.04.2020 09:50,1
1.160.165.17,74,spam,13.08.2019 06:20,1
1.55.92.161,74,spam,07.04.2020 06:00,1
1.55.109.212,74,spam,25.07.2016 14:40,1
1.55.164.91,74,spam,31.10.2016 10:40,1
1.160.16.24,74,spam,07.04.2020 02:00,1
